,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,2485040,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,O=c1cc(Cc2ccccc2)[nH]c2c(-c3ccc(Cl)cc3)cnn12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL505210,,CHEMBL505210,,0,http://www.openphacts.org/units/Nanomolar,772678,=,1,1,=,,IC50,nM,,114100.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,114.1
1,,,2485041,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,COCc1cc(=O)n2ncc(-c3ccc(Cl)cc3)c2[nH]1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL491194,,CHEMBL491194,,0,http://www.openphacts.org/units/Nanomolar,772765,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
2,,,2485042,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,O=c1cc(CCl)[nH]c2c(-c3ccccc3)cnn12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL491391,,CHEMBL491391,,0,http://www.openphacts.org/units/Nanomolar,772768,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
3,,,2485043,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,CCOC(=O)Cc1c(C)nc2c(-c3ccccc3)cnn2c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL1608283,,CHEMBL1608283,,0,http://www.openphacts.org/units/Nanomolar,772767,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
4,,,2485044,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(=O)n2ncc(-c3ccc(Cl)cc3)c2[nH]1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL491195,,CHEMBL491195,,0,http://www.openphacts.org/units/Nanomolar,772766,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
5,,,2485045,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(=O)n2nc(C(F)(F)F)c(-c3ccc(Br)cc3)c2[nH]1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL523980,,CHEMBL523980,,0,http://www.openphacts.org/units/Nanomolar,772851,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
6,,,2485046,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,Cc1[nH]c2c(-c3ccc(Cl)cc3)c(C(F)(F)F)nn2c(=O)c1Cc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL522818,,CHEMBL522818,,0,http://www.openphacts.org/units/Nanomolar,772928,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
7,,,2485047,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,COCc1cc(O)n2nc(C)c(-c3ccc(Cl)cc3)c2n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL1885860,,CHEMBL1885860,,0,http://www.openphacts.org/units/Nanomolar,773121,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
8,,,2485048,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,Brc1cccc(-c2cnn3c(-c4ccccc4)cc(-c4ccccc4)nc23)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL476980,,CHEMBL476980,,0,http://www.openphacts.org/units/Nanomolar,771835,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
9,,,2485049,[],CHEMBL989742,Inhibition of Mycobacterium tuberculosis cloned 1-deoxy-D-xylulose-5-phosphate synthase expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,FC(F)(F)c1cc(-c2ccc(Cl)cc2)nc2c(-c3ccc(Cl)cc3)cnn12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144214,Bioorg Med Chem Lett,2008,,CHEMBL514373,,CHEMBL514373,,0,http://www.openphacts.org/units/Nanomolar,771834,>,1,1,>,,IC50,nM,,200000.0,CHEMBL5091,Mycobacterium tuberculosis,1-deoxy-D-xylulose-5-phosphate synthase,1773,,,IC50,uM,UO_0000065,,200.0
