,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,Active,2149586,[],CHEMBL925797,Inhibition of Mycobacterium tuberculosis Protein kinase G by radiometric ATP consumptive assay,B,,,BAO_0000375,BAO_0000357,single protein format,NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2,,,CHEMBL1147038,Proc Natl Acad Sci U S A,2007,,CHEMBL379367,,CHEMBL379367,,0,,707452,,1,0,,,Activity,,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,Activity,,,,
1,,Active,10861462,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)n[nH]1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL549536,,CHEMBL549536,,0,http://qudt.org/vocab/unit#Percent,1635318,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
2,,Active,10861463,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc2c(Nc3cc(C4CC4)[nH]n3)nc(-c3ccncc3)nc2c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017707,,CHEMBL2017707,,0,http://qudt.org/vocab/unit#Percent,1635319,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
3,,Active,10861464,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Fc1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017708,,CHEMBL2017708,,0,http://qudt.org/vocab/unit#Percent,1635320,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
4,,Active,10861465,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1cc(Nc2nc(-c3ccc(F)cc3)nc3ccccc23)n[nH]1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017709,,CHEMBL2017709,,0,http://qudt.org/vocab/unit#Percent,1635321,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
5,,Active,10861466,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Fc1ccc(-c2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017710,,CHEMBL2017710,,0,http://qudt.org/vocab/unit#Percent,1635322,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
6,,Active,10861467,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc(-c2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017711,,CHEMBL2017711,,0,http://qudt.org/vocab/unit#Percent,1635323,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
7,,Active,10861468,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc2c(Nc3cc(C4CC4)[nH]n3)nc(NC3CCCCC3)nc2c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017712,,CHEMBL2017712,,0,http://qudt.org/vocab/unit#Percent,1635324,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
8,,Active,10861469,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc2c(Nc3cc(C4CC4)[nH]n3)nc(NCC3CC3)nc2c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017713,,CHEMBL2017713,,0,http://qudt.org/vocab/unit#Percent,1635325,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
9,,Active,10861470,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Fc1ccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017714,,CHEMBL2017714,,0,http://qudt.org/vocab/unit#Percent,1635326,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
10,,Active,10861471,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,NC(=O)c1cccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017715,,CHEMBL2017715,,0,http://qudt.org/vocab/unit#Percent,1635327,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
11,,Active,10861472,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,CS(=O)(=O)Nc1cccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017716,,CHEMBL2017716,,0,http://qudt.org/vocab/unit#Percent,1635328,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
12,,Active,10861473,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,CS(=O)(=O)c1cccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017717,,CHEMBL2017717,,0,http://qudt.org/vocab/unit#Percent,1635329,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
13,,Active,10861474,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,CS(=O)(=O)NCc1ccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017718,,CHEMBL2017718,,0,http://qudt.org/vocab/unit#Percent,1635330,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
14,,Active,10861475,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,N#Cc1cccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017719,,CHEMBL2017719,,0,http://qudt.org/vocab/unit#Percent,1635331,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
15,,Active,10861476,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1cncc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017720,,CHEMBL2017720,,0,http://qudt.org/vocab/unit#Percent,1635332,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
16,,Active,10861477,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1cc(Nc2cc(C3CC3)[nH]n2)nc(NC2CCCCC2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017721,,CHEMBL2017721,,0,http://qudt.org/vocab/unit#Percent,1635333,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
17,,Active,10861478,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)CCNc1nccc(Nc2cc(C3CC3)[nH]n2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017722,,CHEMBL2017722,,0,http://qudt.org/vocab/unit#Percent,1635334,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
18,,Active,10861479,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc(CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017723,,CHEMBL2017723,,0,http://qudt.org/vocab/unit#Percent,1635335,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
19,,Active,10861480,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Fc1cccc(CCNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017724,,CHEMBL2017724,,0,http://qudt.org/vocab/unit#Percent,1635336,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
20,,Active,10861481,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,Clc1ccccc1CCNc1nccc(Nc2cc(C3CC3)[nH]n2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017725,,CHEMBL2017725,,0,http://qudt.org/vocab/unit#Percent,1635337,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
21,,Active,10861482,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1cc(Nc2cc(C3CC3)[nH]n2)nc(NCC2CC2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017726,,CHEMBL2017726,,0,http://qudt.org/vocab/unit#Percent,1635338,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
22,,Active,10861483,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,c1cc(Nc2cc(C3CC3)[nH]n2)nc(NC2CCCC2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017727,,CHEMBL2017727,,0,http://qudt.org/vocab/unit#Percent,1635339,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
23,,Active,10861484,[],CHEMBL2020905,Inhibition of Mycobacterium tuberculosis PknG,B,,,BAO_0000201,BAO_0000357,single protein format,CN(C)CCNc1cc(Nc2cc(C3CC3)[nH]n2)nc(-c2ccccc2)n1,,,CHEMBL2016574,Bioorg Med Chem Lett,2012,,CHEMBL2017728,,CHEMBL2017728,,0,http://qudt.org/vocab/unit#Percent,1635340,,1,0,,,Inhibition,%,,,CHEMBL6070,Mycobacterium tuberculosis,Probable serine/threonine-protein kinase pknG,1773,,,INH,,UO_0000187,,
