,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,18178249,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccc(O)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4060195,,CHEMBL4060195,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015739,=,1,1,=,,MIC,ug.mL-1,,3.12,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,3.12
1,,,18178250,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,Nc1ccc(C(=O)/C=C/c2cnc3ccccc3n2)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4088417,,CHEMBL4088417,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015740,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
2,,,18178251,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccc(Br)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4087519,,CHEMBL4087519,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015741,=,1,1,=,,MIC,ug.mL-1,,50.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,50.0
3,,,18178252,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,COc1ccc(C(=O)/C=C/c2cnc3ccccc3n2)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4076242,,CHEMBL4076242,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015742,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
4,,,18178253,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccc(Cl)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4079641,,CHEMBL4079641,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015743,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
5,,,18178254,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccc(F)cc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4103899,,CHEMBL4103899,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015744,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
6,,,18178255,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccncc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4083072,,CHEMBL4083072,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015745,=,1,1,=,,MIC,ug.mL-1,,6.25,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,6.25
7,,,18178256,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1cccc(O)c1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4061202,,CHEMBL4061202,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015746,=,1,1,=,,MIC,ug.mL-1,,3.12,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,3.12
8,,,18178257,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1cccc(Br)c1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4105339,,CHEMBL4105339,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015747,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
9,,,18178258,[],CHEMBL4039027,Inhibition of Mycobacterium tuberculosis H37Rv enoyl ACP reductase assessed as reduction in bacterial growth after 5 days by microplate alamar blue assay,B,,,BAO_0002146,BAO_0000357,single protein format,O=C(/C=C/c1cnc2ccccc2n1)c1ccccc1,,,CHEMBL4038288,Bioorg Med Chem Lett,2017,,CHEMBL4081089,,CHEMBL4081089,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3015748,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,MIC,ug ml-1,UO_0000274,,25.0
