Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,mtb_strain,mentions_resistance,resistant_to,mutant,mutant_type,checkerboard,mentions_resistance_normalized,resistant_to_normalized,MIC_uM,MIC_uM_median,MIC_uM_mean,MIC_uM_std,mic_log
1275,,,1061878,[],CHEMBL745787,Minimum inhibitory concentration against (MDR-TB) Mycobacterium tuberculosis using microplate alamar blue assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,,,CHEMBL1136392,Bioorg Med Chem Lett,2003.0,,CHEMBL1292,CLOFAZIMINE,CHEMBL1292,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,82356,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,2.0,Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",4.236191822935018,0.5,2.5253062667430375,4.4621376998281,0.3010299956639812
2256,,,1720616,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,Oc1ccccc1/C=N/N=C(\S)Nc1ncc(C2CCC2)o1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL441680,,CHEMBL441680,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491458,=,1,1,=,,MIC,ug.mL-1,,6.25,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,6.25,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",19.77226171331014,19.77226171331014,19.77226171331014,,-1.2960563503166678
2258,,,1720678,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,O=[N+]([O-])c1ccccc1/C=N/N=C(\S)Nc1ncc(C2CCC2)o1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL207534,,CHEMBL207534,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491459,=,1,1,=,,MIC,ug.mL-1,,0.78,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,0.78,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",2.260282806676342,2.260282806676342,2.260282806676342,,-0.3541627814903001
2260,,,1720681,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,O=[N+]([O-])c1cccc(/C=N/N=C(\S)Nc2ncc(C3CCC3)o2)c1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL210313,,CHEMBL210313,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491460,=,1,1,=,,MIC,ug.mL-1,,0.78,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,0.78,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",2.260282806676342,2.260282806676342,2.260282806676342,,-0.3541627814903001
2262,,,1720684,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,O=[N+]([O-])c1ccc(/C=N/N=C(\S)Nc2ncc(C3CCC3)o2)cc1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL208200,,CHEMBL208200,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491461,=,1,1,=,,MIC,ug.mL-1,,0.39,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,0.39,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",1.130141403338171,1.130141403338171,1.130141403338171,,-0.05313278582631894
2264,,,1720687,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,Cc1ccc(/C=N/N=C(\S)Nc2ncc(C3CCC3)o2)cc1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL207927,,CHEMBL207927,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491462,=,1,1,=,,MIC,ug.mL-1,,3.12,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,3.12,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",9.932505688789247,9.932505688789247,9.932505688789247,,-0.9970588224673019
2284,,,1720729,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,CC[C@@H](CO)NCCN[C@@H](CC)CO,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL44884,ETHAMBUTOL,CHEMBL44884,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491481,=,1,1,=,,MIC,ug.mL-1,,25.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,25.0,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",122.43871792312753,30.60967948078188,42.26748552464616,45.43664774894877,-1.4858587820489333
2285,,,1720730,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL31,GATIFLOXACIN,CHEMBL31,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491480,=,1,1,=,,MIC,ug.mL-1,,6.25,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,6.25,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",16.65958370453648,1.9991500445443775,3.242868201791427,3.5977657551767237,-0.3008453909526366
2286,,,1720731,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL374478,RIFAMPIN,CHEMBL374478,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491479,=,1,1,=,,MIC,ug.mL-1,,3.12,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,3.12,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",3.793750685180312,16.0,30.22062166587809,39.62763194468418,-1.2041199826559248
2287,,,1720732,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL64,ISONIAZID,CHEMBL64,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491478,=,1,1,=,,MIC,ug.mL-1,,1.56,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,1.56,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",11.381966914895596,18.240331594383967,78.28911832136176,284.7621753833051,-1.2610327291844035
2288,,,1720733,[],CHEMBL863126,Antimycobacterial activity against multidrug resistant Mycobacterium tuberculosis,F,,,BAO_0002146,BAO_0000218,organism-based format,Oc1[nH]c2ccc(F)cc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,,,CHEMBL1148530,J Med Chem,2006.0,,CHEMBL380277,,CHEMBL380277,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,491477,=,1,1,=,,MIC,ug.mL-1,,12.5,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,12.5,multidrug resistant Mycobacterium tuberculosis,mdr,False,False,False,False,MDR,"('false',)",34.81067771032144,34.81067771032144,34.81067771032144,,-1.541712478411777
