Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,mtb_strain,mentions_resistance,resistant_to,mutant,mutant_type,checkerboard,mentions_resistance_normalized,resistant_to_normalized,MIC_uM,MIC_uM_median,MIC_uM_mean,MIC_uM_std,mic_log
296,,,373673,[],CHEMBL751177,Compounds were evaluated for the minimum inhibitory concentration (MIC) Mycobacterium tuberculosis H 37 Rv (INH resistant),F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCNCc1cccc(F)c1.Cl,,,CHEMBL1122718,J Med Chem,1984.0,,CHEMBL13999,,CHEMBL1178173,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,13245,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,8.0,H 37 Rv,R,INH,False,False,False,resistant,['inh'],36.848808640654724,92.12202160163682,92.12202160163682,78.1681274053572,-1.9643634599131439
443,,,593034,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,O=C(OCc1ccccc1)c1cnccn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL116222,,CHEMBL116222,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243156,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,2.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],9.342553855248395,9.342553855248395,9.342553855248395,,-0.9704656100239268
446,,,593040,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,O=C(Oc1ccc(F)cc1)c1cnccn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL127906,,CHEMBL127906,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243128,=,1,1,=,,MIC,ug.mL-1,,16.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,16.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],73.3779498013165,73.3779498013165,73.3779498013165,,-1.8655655732905505
449,,,594177,[],CHEMBL750952,Minimum Inhibitory Concentration for PZA resistant forms against Mycobacterium tuberculosis ATCC 35828,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(OC(=O)c1cnc(Cl)cn1)c1ccc(Br)cc1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL340836,,CHEMBL340836,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243142,=,1,1,=,,MIC,ug.mL-1,,16.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,16.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],47.064164296027116,47.064164296027116,47.064164296027116,,-1.6726903514582068
452,,,595403,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,COC(=O)c1cnccn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL114792,,CHEMBL114792,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243158,=,1,1,=,,MIC,ug.mL-1,,64.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,64.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],463.62389722230733,463.62389722230733,463.62389722230733,,-2.6661658133232695
455,,,595409,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(C)COC(=O)c1cnc(Cl)cn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL114998,,CHEMBL114998,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243113,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,2.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],9.343571789423402,9.343571789423402,9.343571789423402,,-0.9705129267554944
458,,,595415,[],CHEMBL750952,Minimum Inhibitory Concentration for PZA resistant forms against Mycobacterium tuberculosis ATCC 35828,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC(C)(CC)OC(=O)c1cnc(Cl)cn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL432631,,CHEMBL432631,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243154,=,1,1,=,,MIC,ug.mL-1,,4.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,4.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],16.52331278703726,16.52331278703726,16.52331278703726,,-1.2180971241522895
464,,,596839,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(C)(C)OC(=O)c1cnc(Cl)cn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL333846,,CHEMBL333846,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243112,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,0.5,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],2.3358929473558505,2.3358929473558505,2.3358929473558505,,-0.36845293542753205
467,,,596845,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCC(CC)OC(=O)c1cnc(C)cn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL332698,,CHEMBL332698,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243129,=,1,1,=,,MIC,ug.mL-1,,1.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,1.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],3.99731176076854,3.99731176076854,3.99731176076854,,-0.6017680213402576
470,,,600553,[],CHEMBL750950,Minimum Inhibitory Concentration against Mycobacterium tuberculosis ATCC 35828 PZA resistant form,F,,,BAO_0002146,BAO_0000218,organism-based format,O=C(O)c1cnccn1,,,CHEMBL1128446,J Med Chem,1995.0,,CHEMBL613,PYRAZINOIC ACID,CHEMBL613,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,243090,=,1,1,=,,MIC,ug.mL-1,,32.0,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1773,,,MIC,ug ml-1,UO_0000274,,32.0,ATCC 35828,R,PZA,False,False,False,resistant,['pza'],258.0077598982774,258.0077598982774,258.0077598982774,,-2.411632768096261
