epoch,label_h37rv/acc,label_h37rv/auroc,label_mdr/acc,label_mdr/auroc,label_resistant/acc,label_resistant/auroc,step,train_loss,val_loss
0,,,,,,,49,0.755989134311676,
0,,,,,,,99,0.7583908438682556,
0,,,,,,,149,0.86540687084198,
0,,,,,,,199,0.37033408880233765,
0,0.6709401607513428,0.7153489589691162,0.7398843765258789,0.8505885601043701,0.7058823704719543,0.7569444179534912,206,,0.6054314374923706
1,,,,,,,249,0.4213767647743225,
1,,,,,,,299,0.5748969316482544,
1,,,,,,,349,1.4764522314071655,
1,,,,,,,399,0.42315366864204407,
1,0.6517093777656555,0.7112417817115784,0.7745664715766907,0.8650347590446472,0.6323529481887817,0.7734375,413,,0.597970724105835
2,,,,,,,449,2.229360818862915,
2,,,,,,,499,0.58797287940979,
2,,,,,,,549,0.1205250471830368,
2,,,,,,,599,0.13899816572666168,
2,0.6609686613082886,0.7186944484710693,0.8034682273864746,0.9131888151168823,0.6764705777168274,0.7378472089767456,620,,0.6483410596847534
3,,,,,,,649,0.17667965590953827,
3,,,,,,,699,0.19235873222351074,
3,,,,,,,749,0.46438878774642944,
3,,,,,,,799,0.2827346920967102,
3,0.6930199265480042,0.7384995222091675,0.8092485666275024,0.8856340646743774,0.6470588445663452,0.8133680820465088,827,,0.5220583081245422
4,,,,,,,849,0.3280094861984253,
4,,,,,,,899,0.4484582245349884,
4,,,,,,,949,0.07398907095193863,
4,,,,,,,999,0.23791654407978058,
4,0.688746452331543,0.7381817102432251,0.7687861323356628,0.8913857936859131,0.6764705777168274,0.7552083134651184,1034,,0.5577124357223511
5,,,,,,,1049,0.26609915494918823,
5,,,,,,,1099,0.40268629789352417,
5,,,,,,,1149,0.37258559465408325,
5,,,,,,,1199,0.42853957414627075,
5,0.6965811848640442,0.7458531856536865,0.8265895843505859,0.894863486289978,0.7352941036224365,0.7604166865348816,1241,,0.563607394695282
6,,,,,,,1249,0.2756703794002533,
6,,,,,,,1299,0.6129197478294373,
6,,,,,,,1349,0.4077630043029785,
6,,,,,,,1399,0.3601468801498413,
6,0.7001424431800842,0.7472091317176819,0.8150289058685303,0.9054306745529175,0.7058823704719543,0.7873263359069824,1448,,0.5430122017860413
7,,,,,,,1449,0.11298678815364838,
7,,,,,,,1499,0.22797340154647827,
7,,,,,,,1549,0.23034211993217468,
7,,,,,,,1599,0.053219620138406754,
7,,,,,,,1649,0.25062474608421326,
7,0.7015669345855713,0.737149715423584,0.7803468108177185,0.8788121938705444,0.7647058963775635,0.814236044883728,1655,,0.5974674224853516
8,,,,,,,1699,0.08765192329883575,
8,,,,,,,1749,0.05830557644367218,
8,,,,,,,1799,0.05347617715597153,
8,,,,,,,1849,0.47087544202804565,
8,0.7029914259910583,0.7592910528182983,0.8208092451095581,0.915329098701477,0.6470588445663452,0.7690972089767456,1862,,0.6399567127227783
